model,accuracy,precision,recall,f1,roc_auc
decision_tree,0.6984740590030519,0.5415259959486833,0.4996884735202492,0.5197666882696047,0.6472762609293089
knn,0.728585961342828,0.6074544012688342,0.47725856697819313,0.534542916957432,0.7293678177146568
naive_bayes,0.7066124109867752,0.5589298626174982,0.48161993769470407,0.5174029451137885,0.7265339620332986
svm,0.7239064089521872,0.5588793922127255,0.7333333333333333,0.6343303691727297,0.8096695560512372
random_forest,0.7621566632756867,0.7022263450834879,0.4716510903426791,0.5642937010808796,0.8129028432673575
